地域,1950年,1990年,2000年,2025年,2050年
世界全域,2519470,5279519,6085572,7905239,9075903
　先進地域,812772,1148572,1193354,1248954,1236200
　発展途上地域,1706698,4130947,4892218,6656285,7839702
アフリカ,224068,635685,812466,1344491,1936952
アメリカ,338936,727108,837897,1084573,1220853
　ラテンアメリカ,167321,443747,522929,696541,782903
　北部アメリカ,171615,283361,314968,388032,437950
アジア,1396254,3168616,3675799,4728131,5217202
　東部アジア,670985,1349695,1479233,1651971,1586704
　南東部アジア,178073,439846,518867,678347,752254
　南部アジア,496092,1225578,1484624,2098694,2495028
　西部アジア,51104,153498,193075,299119,383216
ヨーロッパ,547405,721390,728463,707235,653323
オセアニア,12807,26721,30949,40809,47572
